,Away 0,Away 1,Away 2,Away 3,Away 4,Away 5,Away 6
Home 0,0.04537802723374724,0.0340747731773411,0.012793528474765342,0.0032022589455018703,0.0006011513384055783,9.02820010041832e-05,1.129892921658414e-05
Home 1,0.10626708923102988,0.07979692336802789,0.02996011759181411,0.007499108221466198,0.0014077871343025179,0.00021142403144252357,2.6460037874473405e-05
Home 2,0.12442910084506044,0.09343494299819992,0.03508057405296052,0.008780773990225874,0.0016483907536196754,0.0002475583204527003,3.0982298893019766e-05
Home 3,0.09713011023541687,0.07293588277677666,0.027384108715280697,0.006854325393582379,0.0012867438125225101,0.00019324552529883512,2.418497028739967e-05
Home 4,0.05686526453782588,0.042700644098403795,0.016032150920582515,0.004012895957697321,0.000753330013876815,0.0001131364711749544,1.4159200786441262e-05
Home 5,0.02663362208171627,0.01999942894499785,0.007508876503894648,0.001879494543096054,0.0003528323846812137,5.2989009044851365e-05,6.631654768340489e-06
Home 6,0.010395183406439561,0.007805837721562797,0.0029307372536413047,0.0007335724156083993,0.0001377115489301222,2.068177080296017e-05,2.588354952006833e-06
Home 7,0.0034776613577906903,0.0026114075286682815,0.0009804648266727276,0.0002454133172217191,4.607077273298635e-05,6.918992414081221e-06,8.659223839441043e-07
